process,date,time,duration,tag
Job Time Calculation,2019-06-13 09:09:47.040478,173030,1 minutes 58 seconds ,Running
Job Time Calculation,2019-06-13 09:16:56.362983,173030,1 minutes 58 seconds ,Running
Job Time Calculation,2019-06-13 09:22:14.849884,173030,1 minutes 58 seconds ,Running
Job Time Calculation,06/13/2019,173030,1 minutes 58 seconds ,Running
Job Time Calculation,06/13/2019,1970-01-03 05:48:50,1 minutes 58 seconds ,Running
Job Time Calculation,06/13/2019,05:00,1 minutes 58 seconds ,Running
Job Time Calculation,06/13/2019,05:48:50,1 minutes 58 seconds ,Running
Job Time Calculation,06/13/2019,07:50:00,43 seconds ,Running
Job Time Calculation,06/13/2019,17:39:00,43 seconds ,Running
Catalog Search,06/13/2019,10:00,44.251532,Loading
Save Product Fields,06/13/2019,10:00,0.042,Loading
Advanced Search(BVP),06/13/2019,10:00,116.799305,Loading
Advanced Search,06/13/2019,10:00,58.004046,Loading
Bulk Item Save,06/13/2019,10:00,445.635905,Saving
Bulk Item Update Table Data Load,06/13/2019,10:00,12.394021,Loading
Bulk Item Update Saving,06/13/2019,10:00,137.56694,Loading
Catalog Search,06/13/2019,10:00,34.298506,Loading
Save Product Fields,06/13/2019,10:00,0.047004,Loading
Bulk Item Update Table Data Load,06/13/2019,10:00,23.310573,Loading
Bulk Item Update Saving,06/13/2019,10:00,129.082017,Loading
Catalog Search,06/13/2019,11:00,35.007724,Loading
Save Product Fields,06/13/2019,11:00,0.046992,Loading
Advanced Search(BVP),06/13/2019,11:00,89.236108,Loading
Advanced Search,06/13/2019,11:00,51.627963,Loading
Bulk Item Save,06/13/2019,11:00,550.24932,Saving
Bulk Item Update Table Data Load,06/13/2019,11:00,19.024775,Loading
Bulk Item Update Saving,06/13/2019,11:00,171.468861,Loading
Bulk Item Update Table Data Load,06/13/2019,11:00,27.028164,Loading
Bulk Item Update Saving,06/13/2019,11:00,184.87837,Loading
