process,date,time,duration,tag
Catalog Search,06/11/2019,09:00,75.51448,Loading
Save Product Fields,06/11/2019,09:00,0.044001,Loading
Catalog Search,06/11/2019,11:00,52.233197,Loading
Save Product Fields,06/11/2019,11:00,54.328865,Loading
Catalog Search,06/11/2019,11:00,60.967546,Loading
Save Product Fields,06/11/2019,11:00,24.323019,Loading
Catalog Search,06/11/2019,11:00,44.184365,Loading
Save Product Fields,06/11/2019,11:00,44.723662,Loading
Catalog Search,06/11/2019,11:00,66.912762,Loading
Save Product Fields,06/11/2019,11:00,46.871887,Loading
Catalog Search,06/11/2019,11:00,50.647655,Loading
Save Product Fields,06/11/2019,11:00,7.882808,Loading
Catalog Search,06/11/2019,11:00,90.900606,Loading
Save Product Fields,06/11/2019,11:00,8.267973,Loading
Catalog Search,06/11/2019,11:00,68.3217,Loading
Save Product Fields,06/11/2019,11:00,0.054993,Loading
Catalog Search,06/11/2019,11:00,81.954313,Loading
Save Product Fields,06/11/2019,11:00,0.045996,Loading
Catalog Search,06/11/2019,12:00,50.224444,Loading
Save Product Fields,06/11/2019,12:00,8.780386,Loading
Catalog Search,06/11/2019,12:00,39.730926,Loading
Save Product Fields,06/11/2019,12:00,0.146004,Loading
Catalog Search,06/11/2019,13:00,64.730128,Loading
Save Product Fields,06/11/2019,13:00,7.124229,Loading
Catalog Search,06/11/2019,13:00,48.290261,Loading
Save Product Fields,06/11/2019,13:00,0.028011,Loading
Catalog Search,06/11/2019,13:00,49.224302,Loading
Save Product Fields,06/11/2019,13:00,9.540239,Loading
Catalog Search,06/11/2019,13:00,48.488301,Loading
Save Product Fields,06/11/2019,13:00,8.669776,Loading
Catalog Search,06/11/2019,13:00,50.539242,Loading
Save Product Fields,06/11/2019,13:00,10.471727,Loading
Catalog Search,06/11/2019,14:00,50.348232,Loading
Save Product Fields,06/11/2019,14:00,0.097,Loading
