process,date,time,duration,tag
Catalog Search,06/10/2019,09:00,79.497901,Loading
Catalog Search,06/10/2019,09:00,45.54195,Loading
Catalog Search,06/10/2019,10:00,44.599622,Loading
Catalog Search,06/10/2019,11:00,52.709718,Loading
Catalog Search,06/10/2019,11:00,51.225207,Loading
Catalog Search,06/10/2019,11:00,6.234105,Loading
Catalog Search,06/10/2019,12:00,18.188339,Loading
Save Product Fields,06/10/2019,12:00,0.178997,Loading
Catalog Search,06/10/2019,12:00,6.13681,Loading
Save Product Fields,06/10/2019,12:00,0.200992,Loading
Catalog Search,06/10/2019,12:00,8.148639,Loading
Save Product Fields,06/10/2019,12:00,0.22624,Loading
Catalog Search,06/10/2019,12:00,12.154749,Loading
Save Product Fields,06/10/2019,12:00,3.959231,Loading
Catalog Search,06/10/2019,13:00,40.220672,Loading
Save Product Fields,06/10/2019,13:00,0.045992,Loading
Catalog Search,06/10/2019,14:00,40.226424,Loading
Save Product Fields,06/10/2019,14:00,309.383311,Loading
Catalog Search,06/10/2019,14:00,38.335529,Loading
Save Product Fields,06/10/2019,14:00,0.042945,Loading
Catalog Search,06/10/2019,14:00,44.1319,Loading
Save Product Fields,06/10/2019,14:00,0.035998,Loading
Catalog Search,06/10/2019,14:00,37.187436,Loading
Save Product Fields,06/10/2019,14:00,0.045409,Loading
Catalog Search,06/10/2019,14:00,54.145531,Loading
Save Product Fields,06/10/2019,14:00,0.046992,Loading
Catalog Search,06/10/2019,14:00,47.635032,Loading
Save Product Fields,06/10/2019,14:00,0.038998,Loading
Catalog Search,06/10/2019,14:00,55.363964,Loading
Save Product Fields,06/10/2019,14:00,0.078,Loading
Catalog Search,06/10/2019,15:00,49.23558,Loading
Save Product Fields,06/10/2019,15:00,0.040996,Loading
Catalog Search,06/10/2019,15:00,102.30991,Loading
Save Product Fields,06/10/2019,15:00,0.048019,Loading
Catalog Search,06/10/2019,15:00,34.328778,Loading
Save Product Fields,06/10/2019,15:00,0.045323,Loading
Catalog Search,06/10/2019,16:00,54.545993,Loading
Save Product Fields,06/10/2019,16:00,0.071013,Loading
Catalog Search,06/10/2019,17:00,42.329551,Loading
Save Product Fields,06/10/2019,17:00,0.009999,Loading
Catalog Search,06/10/2019,17:00,43.19398,Loading
Save Product Fields,06/10/2019,17:00,251.149966,Loading
Catalog Search,06/10/2019,17:00,53.277438,Loading
Save Product Fields,06/10/2019,17:00,0.011003,Loading
Catalog Search,06/10/2019,17:00,86.740599,Loading
Save Product Fields,06/10/2019,17:00,0.204006,Loading
Catalog Search,06/10/2019,17:00,62.220132,Loading
Save Product Fields,06/10/2019,17:00,0.037972,Loading
