process,date,time,duration,tag
Simple Search Test,9/13/2019,10:00,42:56.0,--
Catalog Search,9/13/2019,10:00,2.734701,Loading
Product Load,9/13/2019,10:00,9.963629,Loading
Save Product Fields,9/13/2019,10:00,0.386783,Loading
Bulk Vendor Product Test,9/13/2019,10:00,44:17.1,--
Advanced Search,9/13/2019,10:00,5.951117,Loading
Bulk Item Save,9/13/2019,10:00,20.436537,Saving
Bulk Item Update Test,9/13/2019,10:00,45:33.8,--
Bulk Item Update Table Data Load,9/13/2019,10:00,14.925496,Loading
Bulk Item Update Saving,9/13/2019,10:00,9.539799,Loading
,,,8.5,
,,,4,
Simple Search Test,9/13/2019,13:00,34:51.0,--
Catalog Search,9/13/2019,13:00,2.751361,Loading
Product Load,9/13/2019,13:00,11.150715,Loading
Save Product Fields,9/13/2019,13:00,0.154911,Loading
Bulk Vendor Product Test,9/13/2019,13:00,36:10.2,--
Advanced Search,9/13/2019,13:00,6.671387,Loading
Bulk Item Save,9/13/2019,13:00,16.265006,Saving
Bulk Item Update Test,9/13/2019,13:00,37:22.7,--
Bulk Item Update Table Data Load,9/13/2019,13:00,17.168291,Loading
Bulk Item Update Saving,9/13/2019,13:00,9.803608,Loading
,,,7.7,
,,,4.01,
